Site,Cell,Sector,longitude,latitude,Azimuth,Beamwidth,Radius_km
DN01190A,DN01190A_1,1,-105.480027,39.796194,290,65,0.35
DN01190A,DN01190A_2,2,-105.480027,39.796194,120,65,0.35
DN01242A,DN01242A_1,1,-105.170727,38.75222369,60,65,0.35
DN01242A,DN01242A_2,2,-105.170727,38.75222369,190,65,0.35
DN01242A,DN01242A_3,3,-105.170727,38.75222369,270,65,0.35
DN01277C,DN01277C_1,1,-105.505674,40.383124,0,65,0.35
DN01277C,DN01277C_2,2,-105.505674,40.383124,120,65,0.35
DN01277C,DN01277C_3,3,-105.505674,40.383124,240,65,0.35
DN01319A,DN01319A_1,1,-104.964365,40.881067,20,65,0.35
DN01319A,DN01319A_2,2,-104.964365,40.881067,190,65,0.35
DN01319A,DN01319A_3,3,-104.964365,40.881067,270,65,0.35
DN01320B,DN01320B_1,1,-104.890088,41.048935,320,65,0.35
DN01320B,DN01320B_2,2,-104.890088,41.048935,70,65,0.35
DN01320B,DN01320B_3,3,-104.890088,41.048935,190,65,0.35
DN01328A,DN01328A_1,1,-105.438971,39.742265,280,65,0.35
DN01328A,DN01328A_2,2,-105.438971,39.742265,120,65,0.35
DN01331A,DN01331A_1,1,-105.539546,39.74055,320,65,0.35
DN01331A,DN01331A_2,2,-105.539546,39.74055,90,65,0.35
DN01331A,DN01331A_3,3,-105.539546,39.74055,180,65,0.35
DN01332B,DN01332B_1,1,-105.672171,39.722841,340,65,0.35
DN01332B,DN01332B_2,2,-105.672171,39.722841,240,65,0.35
DN01334E,DN01334E_1,1,-106.387803,39.646173,100,65,0.35
DN01334E,DN01334E_2,2,-106.387803,39.646173,160,65,0.35
DN01334E,DN01334E_3,3,-106.387803,39.646173,240,65,0.35
DN01345A,DN01345A_1,1,-105.687579,39.75733163,280,65,0.35
DN01345A,DN01345A_2,2,-105.687579,39.75733163,60,65,0.35
DN01346A,DN01346A_1,1,-106.677906,39.655388,350,65,0.35
DN01346A,DN01346A_2,2,-106.677906,39.655388,90,65,0.35
DN01346A,DN01346A_3,3,-106.677906,39.655388,185,65,0.35
